cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,reason,shares,strike,ticker,type
-11.343101478373585,11.343101478373585,,,,2022-01-24,2022-01-31,,42.5273494542294,,31.18424797585582,,,16.36556636810303,F,btc_call
65.61777375179867,,,,,2022-01-24,2022-02-26,65.61777375179867,,,,,,16.230245018005373,F,write_cc
25.636018121843797,,,,,2022-01-26,2022-02-28,25.636018121843797,,,,,,15.41404151916504,T,write_cc
-20.49807816624312,20.49807816624312,,,,2022-02-03,2022-02-26,,65.61777375179867,,45.11969558555555,,,16.230245018005373,F,btc_call
38.88105084334548,,,,,2022-02-03,2022-03-08,38.88105084334548,,,,,,15.913650283813478,F,write_cc
-12.18227496561508,12.18227496561508,,,,2022-02-07,2022-03-08,,38.88105084334548,,26.698775877730398,,,15.913650283813478,F,btc_call
45.70377972349648,,,,,2022-02-07,2022-03-12,45.70377972349648,,,,,,14.31348644256592,F,write_cc
-13.515423309682273,13.515423309682273,,,,2022-02-14,2022-02-22,,35.797936198443466,,22.282512888761193,,,43.92747482299805,BAC,btc_call
-8.40348998665097,8.40348998665097,,,,2022-02-14,2022-02-28,,25.636018121843797,,17.23252813519283,,,15.41404151916504,T,btc_call
28.55074619459885,,,,,2022-02-14,2022-03-19,28.55074619459885,,,,,,15.286920776367188,T,write_cc
32.547708699612784,,,,,2022-02-14,2022-03-19,32.547708699612784,,,,,,45.530950012207036,BAC,write_cc
-1334.212303161621,,,,,2022-02-16,,,,13.342123031616211,,,100,,F,buy_lot
-11.866776344801533,11.866776344801533,,,,2022-02-17,2022-03-19,,32.547708699612784,,20.68093235481125,,,45.530950012207036,BAC,btc_call
29.54478428605629,,,,,2022-02-17,2022-03-22,29.54478428605629,,,,,,44.23473495483399,BAC,write_cc
,,,,,2022-02-18,2022-02-18,,,,-1464.72990397777,insufficient_cash_for_assignment,,15.5,F,force_expire_put
-12.674635845155624,12.674635845155624,,,,2022-02-22,2022-03-12,,45.70377972349648,,33.02914387834086,,,14.31348644256592,F,btc_call
39.12281102744419,,,,,2022-02-22,2022-03-27,39.12281102744419,,,,,,13.83343677520752,F,write_cc
-8.482887095148728,8.482887095148728,,,,2022-02-23,2022-03-22,,29.54478428605629,,21.061897190907565,,,44.23473495483399,BAC,btc_call
26.89985239760544,,,,,2022-02-23,2022-03-28,26.89985239760544,,,,,,42.99611160278321,BAC,write_cc
-9.852243683223394,9.852243683223394,,,,2022-02-24,2022-03-19,,28.55074619459885,,18.69850251137546,,,15.286920776367188,T,btc_call
27.20882639369013,,,,,2022-02-24,2022-03-29,27.20882639369013,,,,,,14.765697097778322,T,write_cc
