cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,reason,shares,strike,ticker,type
,,,,,2022-04-11,2022-04-10,,,,15.332690197934795,,,14.0,T,expire_call
,,,,,2022-04-11,2022-04-10,,,,15.332690197934795,,,14.0,T,expire_call
27.615044583571535,,,,,2022-04-11,2022-05-14,27.615044583571535,,,,,,16.0,T,write_cc
27.615044583571535,,,,,2022-04-11,2022-05-14,27.615044583571535,,,,,,16.0,T,write_cc
-12.806968947783526,12.806968947783526,,,,2022-04-22,2022-05-09,,35.04233333217872,,22.235364384395197,,,12.0,F,btc_call
-12.806968947783526,12.806968947783526,,,,2022-04-22,2022-05-09,,35.04233333217872,,22.235364384395197,,,12.0,F,btc_call
25.70677887650796,,,,,2022-04-22,2022-05-25,25.70677887650796,,,,,,12.0,F,write_cc
25.70677887650796,,,,,2022-04-22,2022-05-25,25.70677887650796,,,,,,12.0,F,write_cc
-7.732785554947674,7.732785554947674,,,,2022-04-28,2022-05-25,,25.70677887650796,,17.973993321560286,,,12.0,F,btc_call
-7.732785554947674,7.732785554947674,,,,2022-04-28,2022-05-25,,25.70677887650796,,17.973993321560286,,,12.0,F,btc_call
21.10482508324707,,,,,2022-04-28,2022-05-31,21.10482508324707,,,,,,11.5,F,write_cc
21.10482508324707,,,,,2022-04-28,2022-05-31,21.10482508324707,,,,,,11.5,F,write_cc
-11.007591574594189,11.007591574594189,,,,2022-04-29,2022-05-14,,27.615044583571535,,16.607453008977345,,,16.0,T,btc_call
-11.007591574594189,11.007591574594189,,,,2022-04-29,2022-05-14,,27.615044583571535,,16.607453008977345,,,16.0,T,btc_call
42.47672756529912,,,,,2022-04-29,2022-06-01,42.47672756529912,,,,,,15.5,T,write_cc
42.47672756529912,,,,,2022-04-29,2022-06-01,42.47672756529912,,,,,,15.5,T,write_cc
33.57275356765781,,1050.0,,,2022-05-02,2022-05-31,33.57275356765781,,,,,,10.5,F,write_csp
-2.8753046493292245,2.8753046493292245,,,,2022-05-09,2022-05-31,,21.10482508324707,,18.22952043391785,,,11.5,F,btc_call
-2.8753046493292245,2.8753046493292245,,,,2022-05-09,2022-05-31,,21.10482508324707,,18.22952043391785,,,11.5,F,btc_call
25.331577188567202,,,,,2022-05-09,2022-06-11,25.331577188567202,,,,,,10.5,F,write_cc
25.331577188567202,,,,,2022-05-09,2022-06-11,25.331577188567202,,,,,,10.5,F,write_cc
-7.884698597851436,7.884698597851436,,,,2022-05-12,2022-06-11,,25.331577188567202,,17.446878590715766,,,10.5,F,btc_call
-7.884698597851436,7.884698597851436,,,,2022-05-12,2022-06-11,,25.331577188567202,,17.446878590715766,,,10.5,F,btc_call
32.264658195338484,,,,,2022-05-12,2022-06-14,32.264658195338484,,,,,,9.555398845672608,F,write_cc
32.264658195338484,,,,,2022-05-12,2022-06-14,32.264658195338484,,,,,,9.555398845672608,F,write_cc
-133.85299170138404,133.85299170138404,,,,2022-05-25,2022-06-01,,42.47672756529912,,-91.37626413608493,,,15.5,T,btc_call
-133.85299170138404,133.85299170138404,,,,2022-05-25,2022-06-01,,42.47672756529912,,-91.37626413608493,,,15.5,T,btc_call
24.731240275008037,,,,,2022-05-25,2022-06-27,24.731240275008037,,,,,,17.5,T,write_cc
24.731240275008037,,,,,2022-05-25,2022-06-27,24.731240275008037,,,,,,17.5,T,write_cc
,,,,,2022-05-31,2022-05-31,,,,-1015.4272464323421,insufficient_cash_for_assignment,,10.5,F,force_expire_put
56.349924215833894,,1000.0,,,2022-05-31,2022-06-29,56.349924215833894,,,,,,10.0,F,write_csp
-4.748996799148841,4.748996799148841,,,,2022-06-03,2022-06-27,,24.731240275008037,,19.982243475859196,,,17.5,T,btc_call
-4.748996799148841,4.748996799148841,,,,2022-06-03,2022-06-27,,24.731240275008037,,19.982243475859196,,,17.5,T,btc_call
-77.29444591910388,77.29444591910388,,,,2022-06-07,2022-06-14,,32.264658195338484,,-45.029787723765395,,,9.555398845672608,F,btc_call
-77.29444591910388,77.29444591910388,,,,2022-06-07,2022-06-14,,32.264658195338484,,-45.029787723765395,,,9.555398845672608,F,btc_call
41.35119131078078,,,,,2022-06-07,2022-07-10,41.35119131078078,,,,,,11.0,F,write_cc
41.35119131078078,,,,,2022-06-07,2022-07-10,41.35119131078078,,,,,,11.0,F,write_cc
-14.641868983009076,14.641868983009076,,,,2022-06-10,2022-07-10,,41.35119131078078,,26.7093223277717,,,11.0,F,btc_call
-14.641868983009076,14.641868983009076,,,,2022-06-10,2022-07-10,,41.35119131078078,,26.7093223277717,,,11.0,F,btc_call
41.44691162477372,,,,,2022-06-10,2022-07-13,41.44691162477372,,,,,,10.0,F,write_cc
41.44691162477372,,,,,2022-06-10,2022-07-13,41.44691162477372,,,,,,10.0,F,write_cc
20.64439441795356,,,,,2022-06-14,2022-07-17,20.64439441795356,,,,,,16.0,T,write_cc
20.64439441795356,,,,,2022-06-14,2022-07-17,20.64439441795356,,,,,,16.0,T,write_cc
-9.147312774900751,9.147312774900751,,,,2022-06-16,2022-07-13,,41.44691162477372,,32.299598849872964,,,10.0,F,btc_call
-9.147312774900751,9.147312774900751,,,,2022-06-16,2022-07-13,,41.44691162477372,,32.299598849872964,,,10.0,F,btc_call
33.82323495771242,,,,,2022-06-16,2022-07-19,33.82323495771242,,,,,,9.0,F,write_cc
33.82323495771242,,,,,2022-06-16,2022-07-19,33.82323495771242,,,,,,9.0,F,write_cc
-1000.0,,,1000.0,,2022-06-29,2022-06-29,,,,,,,10.0,F,assign_put
35.28379279700653,,,,,2022-06-29,2022-08-01,35.28379279700653,,,,,,9.0,F,write_cc
-11.162373604697562,11.162373604697562,,,,2022-07-05,2022-07-19,,33.82323495771242,,22.66086135301486,,,9.0,F,btc_call
-11.162373604697562,11.162373604697562,,,,2022-07-05,2022-07-19,,33.82323495771242,,22.66086135301486,,,9.0,F,btc_call
26.3740733357694,,,,,2022-07-05,2022-08-07,26.3740733357694,,,,,,9.0,F,write_cc
26.3740733357694,,,,,2022-07-05,2022-08-07,26.3740733357694,,,,,,9.0,F,write_cc
-60.266270727592186,60.266270727592186,,,,2022-07-11,2022-07-17,,20.64439441795356,,-39.62187630963862,,,16.0,T,btc_call
-60.266270727592186,60.266270727592186,,,,2022-07-11,2022-07-17,,20.64439441795356,,-39.62187630963862,,,16.0,T,btc_call
21.571498636838005,,,,,2022-07-11,2022-08-13,21.571498636838005,,,,,,17.5,T,write_cc
