cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,shares,strike,ticker,type
-16.990856219920403,16.990856219920403,,,,2022-02-07,2022-03-08,,51.25670844680252,,34.26585222688212,,15.5,F,btc_call
55.50894579125804,,,,,2022-02-07,2022-03-12,55.50894579125804,,,,,14.0,F,write_cc
-11.55624737431653,11.55624737431653,,,,2022-02-16,2022-02-28,,36.88774954579426,,25.331502171477727,,15.0,T,btc_call
33.95677754323625,,,,,2022-02-16,2022-03-21,33.95677754323625,,,,,15.0,T,write_cc
-18.028743211779698,18.028743211779698,,,,2022-02-22,2022-03-12,,55.50894579125804,,37.480202579478345,,14.0,F,btc_call
49.36282315643324,,,,,2022-02-22,2022-03-27,49.36282315643324,,,,,13.5,F,write_cc
-11.764343711712755,11.764343711712755,,,,2022-02-25,2022-03-21,,33.95677754323625,,22.192433831523495,,15.0,T,btc_call
17.21602239662281,,,,,2022-02-25,2022-03-30,17.21602239662281,,,,,15.0,T,write_cc
-5.830529687230546,5.830529687230546,,,,2022-03-01,2022-03-30,,17.21602239662281,,11.385492709392267,,15.0,T,btc_call
16.47120628078511,,,,,2022-03-01,2022-04-03,16.47120628078511,,,,,14.5,T,write_cc
-19.21079445548619,19.21079445548619,,,,2022-03-07,2022-03-27,,49.36282315643324,,30.152028700947046,,13.5,F,btc_call
62.791245003498815,,,,,2022-03-07,2022-04-09,62.791245003498815,,,,,12.5,F,write_cc
-3.694732296825687,3.694732296825687,,,,2022-03-08,2022-04-03,,16.47120628078511,,12.776473983959423,,14.5,T,btc_call
15.332838745381494,,,,,2022-03-08,2022-04-10,15.332838745381494,,,,,14.0,T,write_cc
-17.444086796239766,17.444086796239766,,,,2022-04-04,2022-04-09,,62.791245003498815,,45.34715820725905,,12.5,F,btc_call
36.64735295337023,,,,,2022-04-04,2022-05-07,36.64735295337023,,,,,13.0,F,write_cc
-11.602737651315875,11.602737651315875,,,,2022-04-06,2022-05-07,,36.64735295337023,,25.044615302054353,,13.0,F,btc_call
35.04252156123337,,,,,2022-04-06,2022-05-09,35.04252156123337,,,,,12.0,F,write_cc
,,,,,2022-04-11,2022-04-10,,,,15.332838745381494,,14.0,T,expire_call
27.615031722718708,,,,,2022-04-11,2022-05-14,27.615031722718708,,,,,16.0,T,write_cc
-12.807019381410978,12.807019381410978,,,,2022-04-22,2022-05-09,,35.04252156123337,,22.235502179822394,,12.0,F,btc_call
25.70685400131083,,,,,2022-04-22,2022-05-25,25.70685400131083,,,,,12.0,F,write_cc
-7.732732135746634,7.732732135746634,,,,2022-04-28,2022-05-25,,25.70685400131083,,17.974121865564197,,12.0,F,btc_call
21.10472041742173,,,,,2022-04-28,2022-05-31,21.10472041742173,,,,,11.5,F,write_cc
-11.007703641731093,11.007703641731093,,,,2022-04-29,2022-05-14,,27.615031722718708,,16.607328080987614,,16.0,T,btc_call
42.47696643083927,,,,,2022-04-29,2022-06-01,42.47696643083927,,,,,15.5,T,write_cc
-2.875289706947326,2.875289706947326,,,,2022-05-09,2022-05-31,,21.10472041742173,,18.229430710474404,,11.5,F,btc_call
25.331548757596643,,,,,2022-05-09,2022-06-11,25.331548757596643,,,,,10.5,F,write_cc
-7.88465410157797,7.88465410157797,,,,2022-05-12,2022-06-11,,25.331548757596643,,17.44689465601867,,10.5,F,btc_call
32.26458017614955,,,,,2022-05-12,2022-06-14,32.26458017614955,,,,,9.555398845672608,F,write_cc
-133.85298629489384,133.85298629489384,,,,2022-05-25,2022-06-01,,42.47696643083927,,-91.37601986405457,,15.5,T,btc_call
24.731044721639428,,,,,2022-05-25,2022-06-27,24.731044721639428,,,,,17.5,T,write_cc
-4.748887003593216,4.748887003593216,,,,2022-06-03,2022-06-27,,24.731044721639428,,19.98215771804621,,17.5,T,btc_call
-77.29435451863705,77.29435451863705,,,,2022-06-07,2022-06-14,,32.26458017614955,,-45.0297743424875,,9.555398845672608,F,btc_call
41.35111464600038,,,,,2022-06-07,2022-07-10,41.35111464600038,,,,,11.0,F,write_cc
-14.641852682706835,14.641852682706835,,,,2022-06-10,2022-07-10,,41.35111464600038,,26.70926196329355,,11.0,F,btc_call
41.446887410376696,,,,,2022-06-10,2022-07-13,41.446887410376696,,,,,10.0,F,write_cc
